gbif_id,taxon_name,decimal_latitude,decimal_longitude
1991449968,Sarcocornia_fruticosa,39.747817,20.020617
1584384961,Sarcocornia_fruticosa,39.45473,19.91223
1945412441,Sarcocornia_fruticosa,37.82253,20.63498
1697854407,Sarcocornia_fruticosa,32.709722,34.941667
1697854399,Sarcocornia_fruticosa,31.711111,35.455556
1946549940,Sarcocornia_fruticosa,39.77362,19.95557
1584384910,Sarcocornia_fruticosa,39.59207,19.90548
1123831157,Sarcocornia_fruticosa,-22.041389,-41.048333
1123830209,Sarcocornia_fruticosa,-22.041389,-41.033333
1702507182,Sarcocornia_fruticosa,37.82,-0.76
876157523,Sarcocornia_fruticosa,37.822778,-0.760056
1095906256,Sarcocornia_fruticosa,28,-14
1851580634,Sarcocornia_fruticosa,37.38,22.77
1851580910,Sarcocornia_fruticosa,39.52,20.19
1839073106,Sarcocornia_fruticosa,38.43,22.45167
1851580879,Sarcocornia_fruticosa,38.1,21.35
1839073008,Sarcocornia_fruticosa,38.538891,23.625561
1851581742,Sarcocornia_fruticosa,38.65,-0.92
1851580903,Sarcocornia_fruticosa,45.63,12.99
1851580916,Sarcocornia_fruticosa,45.68,13.44
1851580895,Sarcocornia_fruticosa,45.71,13.46
1851581129,Sarcocornia_fruticosa,45.75,13.16
1851581137,Sarcocornia_fruticosa,42.97,10.59
1851580513,Sarcocornia_fruticosa,42.5,11.2
1851580364,Sarcocornia_fruticosa,45.49,12.57
1851580339,Sarcocornia_fruticosa,45.43,12.43
1851580317,Sarcocornia_fruticosa,45.57,12.53
1851580691,Sarcocornia_fruticosa,42.44,11.21
1851580197,Sarcocornia_fruticosa,42.44,11.23
1851581217,Sarcocornia_fruticosa,42.43,11.16
1851580342,Sarcocornia_fruticosa,45.46,12.46
1851580370,Sarcocornia_fruticosa,42.95,10.59
1851579848,Sarcocornia_fruticosa,45.49,12.49
1851580135,Sarcocornia_fruticosa,45.47,12.49
1851580198,Sarcocornia_fruticosa,37.43,-1.62
1851580733,Sarcocornia_fruticosa,35.79,-0.11
1424411552,Sarcocornia_fruticosa,-22.926389,-42.349444
1851581758,Sarcocornia_fruticosa,35.51,4.52
1949934602,Sarcocornia_fruticosa,37.494444,23.461111
1851580096,Sarcocornia_fruticosa,42.03,3.19
1701539690,Sarcocornia_fruticosa,39.74333,20.01611
318120880,Sarcocornia_fruticosa,38.42,-1.62
318120895,Sarcocornia_fruticosa,38.41,-1.63
318120859,Sarcocornia_fruticosa,38.55,-1.62
1851580920,Sarcocornia_fruticosa,34.91,-2.75
1851580416,Sarcocornia_fruticosa,38.65,-0.93
1851580341,Sarcocornia_fruticosa,35.19,-3.83
1851580961,Sarcocornia_fruticosa,35.19,-3.8
318120945,Sarcocornia_fruticosa,40.69,0.85
318120921,Sarcocornia_fruticosa,39.17,9.02
318120922,Sarcocornia_fruticosa,39.06,8.47
318120923,Sarcocornia_fruticosa,40.91,8.23
318120913,Sarcocornia_fruticosa,39.88,8.44
318120930,Sarcocornia_fruticosa,40.89,8.24
318120942,Sarcocornia_fruticosa,43.51,-5.41
318120943,Sarcocornia_fruticosa,43.43,-3.74
318120944,Sarcocornia_fruticosa,43.4,-3.83
1851580542,Sarcocornia_fruticosa,37.05,-2.41
813374206,Sarcocornia_fruticosa,37.143792,-8.591192
813374211,Sarcocornia_fruticosa,37.030486,-7.816308
813374203,Sarcocornia_fruticosa,38.60972,-9.048795
1936208486,Sarcocornia_fruticosa,37.5331,-1.3719
1851581247,Sarcocornia_fruticosa,37.04,-7.75
2269392237,Sarcocornia_fruticosa,-23.5,-68.25
1851581705,Sarcocornia_fruticosa,37.34,-8.83
318120657,Sarcocornia_fruticosa,43.12,6.2
318120666,Sarcocornia_fruticosa,42.88,3.04
318120641,Sarcocornia_fruticosa,43.11,6.21
318120685,Sarcocornia_fruticosa,42.61,3.03
318120671,Sarcocornia_fruticosa,42.83,3.03
318120700,Sarcocornia_fruticosa,43.56,4.19
318120704,Sarcocornia_fruticosa,43.49,4.37
318121581,Sarcocornia_fruticosa,38.28,-0.53
1851580908,Sarcocornia_fruticosa,35.14,-2.78
318120660,Sarcocornia_fruticosa,43.11,6.19
318120688,Sarcocornia_fruticosa,43.58,4.25
1851580969,Sarcocornia_fruticosa,35.1,-2.73
318120710,Sarcocornia_fruticosa,43.47,4.44
1096213268,Sarcocornia_fruticosa,34,33
318120715,Sarcocornia_fruticosa,42.9,3.04
318120758,Sarcocornia_fruticosa,36.75,-2.19
318120637,Sarcocornia_fruticosa,37.85,-0.75
1501073352,Sarcocornia_fruticosa,38.02,-0.65
1501073402,Sarcocornia_fruticosa,38.03,-0.67
1501073348,Sarcocornia_fruticosa,38.04,-0.69
318120751,Sarcocornia_fruticosa,38.04,-0.66
318120725,Sarcocornia_fruticosa,37.84,-0.76
318120729,Sarcocornia_fruticosa,37.84,-0.75
1501067849,Sarcocornia_fruticosa,38.64,0.06
318120632,Sarcocornia_fruticosa,37.82,-0.74
1144771259,Sarcocornia_fruticosa,42.7,9.26667
214567903,Sarcocornia_fruticosa,39.506668,20.223612
1851580171,Sarcocornia_fruticosa,37.02,-7.99
318120793,Sarcocornia_fruticosa,36.39,-6.2
1851580957,Sarcocornia_fruticosa,39.34,2.99
318120813,Sarcocornia_fruticosa,36.48,-6.14
318120823,Sarcocornia_fruticosa,36.8,-6.33
318120800,Sarcocornia_fruticosa,36.39,-6.17
318120812,Sarcocornia_fruticosa,36.5,-6.14
214567901,Sarcocornia_fruticosa,39.625275,20.188332
1851580907,Sarcocornia_fruticosa,39.32,2.99
318120786,Sarcocornia_fruticosa,38.2,-0.51
318120609,Sarcocornia_fruticosa,37.81,12.46
318120614,Sarcocornia_fruticosa,37.99,12.53
318120770,Sarcocornia_fruticosa,38.26,-0.51
318120776,Sarcocornia_fruticosa,38.18,-0.61
318120781,Sarcocornia_fruticosa,38.2,-0.57
318120953,Sarcocornia_fruticosa,39.19,2.97
1851579914,Sarcocornia_fruticosa,39.2,2.98
1697854432,Sarcocornia_fruticosa,34.622222,32.944444
1697854384,Sarcocornia_fruticosa,34.605556,33.005556
1089108158,Sarcocornia_fruticosa,-22.953333,-42.030556
30889592,Sarcocornia_fruticosa,39.389999,3
318120594,Sarcocornia_fruticosa,35.76,10.72
860312612,Sarcocornia_fruticosa,41.32,2.1
199502564,Sarcocornia_fruticosa,37.154756,-1.82539
1936625133,Sarcocornia_fruticosa,40.0347,8.3836
30674727,Sarcocornia_fruticosa,37.360001,-1.67
318120844,Sarcocornia_fruticosa,38.3,-0.71
318120900,Sarcocornia_fruticosa,38.29,-0.7
2269392081,Sarcocornia_fruticosa,-23.11667,-68.1
204404334,Sarcocornia_fruticosa,37.555,-2.734
1936622602,Sarcocornia_fruticosa,38.4066,-1.6498
1936608766,Sarcocornia_fruticosa,37.03147,-8.04564
318103346,Sarcocornia_fruticosa,37.03,-8.03
1851338033,Sarcocornia_fruticosa,37.038,-8.039
30889587,Sarcocornia_fruticosa,39.48,2.65
1340035921,Sarcocornia_fruticosa,39.2,26.183333
318103275,Sarcocornia_fruticosa,38.16,-0.62
1584379284,Sarcocornia_fruticosa,45.48333,13.6
30937770,Sarcocornia_fruticosa,40.009998,0.25
895230543,Sarcocornia_fruticosa,40.77,0.81
232592054,Sarcocornia_fruticosa,37.59,-0.854
1501071341,Sarcocornia_fruticosa,38.35,-0.54
895221532,Sarcocornia_fruticosa,39.4,-0.27
1501071371,Sarcocornia_fruticosa,38.37,-0.57
318120428,Sarcocornia_fruticosa,38.35,-0.43
895248234,Sarcocornia_fruticosa,39.765,-0.157
1228277007,Sarcocornia_fruticosa,-17.12,-71.9
895233877,Sarcocornia_fruticosa,38.784,0.185
1501122062,Sarcocornia_fruticosa,39.76,-0.15
1228568245,Sarcocornia_fruticosa,-25.3,-70.45
318120458,Sarcocornia_fruticosa,38.19,-0.77
318120210,Sarcocornia_fruticosa,38.17,-0.63
1978872029,Sarcocornia_fruticosa,38.84389,20.68311
1501055403,Sarcocornia_fruticosa,38.29,-0.52
30889574,Sarcocornia_fruticosa,37.119999,-6.97
1933505231,Sarcocornia_fruticosa,40.64694,0.75833
211620155,Sarcocornia_fruticosa,42.450001,-8.88
318120564,Sarcocornia_fruticosa,42.5,-8.82
1501056748,Sarcocornia_fruticosa,38.32,-0.52
318120346,Sarcocornia_fruticosa,38.37,-0.52
1936648265,Sarcocornia_fruticosa,42.4503,-8.8798
895144524,Sarcocornia_fruticosa,38.784,0.197
1501102110,Sarcocornia_fruticosa,38.78,0.19
1936511928,Sarcocornia_fruticosa,38.6388,0.0577
1050618821,Sarcocornia_fruticosa,41.54,10.19
204435699,Sarcocornia_fruticosa,41.546001,10.199
895311543,Sarcocornia_fruticosa,42.364,10.682
1842877122,Sarcocornia_fruticosa,35.606254,-5.300913
31965964,Sarcocornia_fruticosa,35.15,-3.7763
1501057481,Sarcocornia_fruticosa,38.43,-0.78
1701180074,Sarcocornia_fruticosa,42.411119,11.145667
1501071448,Sarcocornia_fruticosa,38.06,-0.78
318120979,Sarcocornia_fruticosa,37.97,-0.78
31965966,Sarcocornia_fruticosa,35.12,-2.75
1050611100,Sarcocornia_fruticosa,43.39,-3.31
1050611077,Sarcocornia_fruticosa,43.36,-2.68
31965967,Sarcocornia_fruticosa,35.719657,-5.342659
1340028018,Sarcocornia_fruticosa,39.116667,26.466667
1050611123,Sarcocornia_fruticosa,43.34,-3.11
1050611109,Sarcocornia_fruticosa,43.36,-2.67
1050611104,Sarcocornia_fruticosa,43.42,-3.5
1228543023,Sarcocornia_fruticosa,-12,-76.6333
1501054290,Sarcocornia_fruticosa,38.24,-0.54
30888944,Sarcocornia_fruticosa,36.950001,-2.44
860310694,Sarcocornia_fruticosa,38.2525,-0.5088
2291827578,Sarcocornia_fruticosa,30.516667,-9.766667
895236383,Sarcocornia_fruticosa,38.51,-0.88
30888941,Sarcocornia_fruticosa,39.48,2.53
1936429205,Sarcocornia_fruticosa,43.3419,-3.1247
1502036781,Sarcocornia_fruticosa,40.21,0.24
895240362,Sarcocornia_fruticosa,40.12,0.12
31965963,Sarcocornia_fruticosa,35.11,-2.29
30888942,Sarcocornia_fruticosa,36.68,-2.33
1260839716,Sarcocornia_fruticosa,-30.66666,-71.66666
30888882,Sarcocornia_fruticosa,36.389999,-6.32
1144771263,Sarcocornia_fruticosa,41.6,9.3
30888946,Sarcocornia_fruticosa,36.200001,-6.11
895241084,Sarcocornia_fruticosa,40.4,0.35
30888945,Sarcocornia_fruticosa,36.68,-2.22
1936582422,Sarcocornia_fruticosa,43.4308,-3.5202
1851331963,Sarcocornia_fruticosa,43.4,-3.56
1936155486,Sarcocornia_fruticosa,38.5414,-1.6128
895261915,Sarcocornia_fruticosa,39.31,-0.27
204435194,Sarcocornia_fruticosa,43.375,-2.685
1936407829,Sarcocornia_fruticosa,40.3495,0.3967
1228244987,Sarcocornia_fruticosa,-26,-70.42
1228166167,Sarcocornia_fruticosa,-26,-70.62
895160986,Sarcocornia_fruticosa,38.53,-1.68
1851360293,Sarcocornia_fruticosa,36.73,-2.16
1261454672,Sarcocornia_fruticosa,-2.95,-80.15
47726719,Sarcocornia_fruticosa,-2.75,-79.9
1144766559,Sarcocornia_fruticosa,42.71667,9.23333
1144771206,Sarcocornia_fruticosa,41.95,9.4
1144771229,Sarcocornia_fruticosa,42.68333,9.28333
204435682,Sarcocornia_fruticosa,43.330002,-3.117
1144771262,Sarcocornia_fruticosa,42.06667,9.46667
1144766555,Sarcocornia_fruticosa,42.05,9.5
1144766542,Sarcocornia_fruticosa,41.61667,9.31667
1144771231,Sarcocornia_fruticosa,41.68333,9.36667
47726723,Sarcocornia_fruticosa,-2.733,-79.916
1144771221,Sarcocornia_fruticosa,42.05,9.46667
1936159096,Sarcocornia_fruticosa,36.8358,-2.4517
1936158364,Sarcocornia_fruticosa,38.3513,-0.4836
2269392238,Sarcocornia_fruticosa,-27.09818,-70.862987
1936577736,Sarcocornia_fruticosa,38.6557,1.3899
1699961177,Sarcocornia_fruticosa,41.190163,9.303832
123002703,Sarcocornia_fruticosa,-3.5,-80.466667
204435195,Sarcocornia_fruticosa,43.429001,-3.488
1144766541,Sarcocornia_fruticosa,41.46667,9.05
1228390823,Sarcocornia_fruticosa,-9.07,-78.63
1936344487,Sarcocornia_fruticosa,38.325,-0.5189
1936160121,Sarcocornia_fruticosa,37.6259,-0.7009
1936159109,Sarcocornia_fruticosa,37.5695,-1.0763
1936159129,Sarcocornia_fruticosa,38.1939,-0.7174
1936556247,Sarcocornia_fruticosa,36.7442,-2.1947
1936566580,Sarcocornia_fruticosa,43.5151,-5.3892
895269972,Sarcocornia_fruticosa,39.94,-0.02
1144771241,Sarcocornia_fruticosa,41.58333,9.28333
1144771212,Sarcocornia_fruticosa,42.1,9.53333
1144771211,Sarcocornia_fruticosa,41.55,9.3
1144771269,Sarcocornia_fruticosa,42.15,9.55
1144771251,Sarcocornia_fruticosa,41.38333,9.21667
1144771198,Sarcocornia_fruticosa,41.48333,9.06667
1144771245,Sarcocornia_fruticosa,42.16667,9.55
1144771253,Sarcocornia_fruticosa,41.65,9.36667
1144771284,Sarcocornia_fruticosa,41.63333,9.31667
1144771214,Sarcocornia_fruticosa,41.36667,9.23333
1144771264,Sarcocornia_fruticosa,42.06667,9.48333
1144771249,Sarcocornia_fruticosa,41.61667,9.33333
1144771209,Sarcocornia_fruticosa,42.13333,9.55
1144771213,Sarcocornia_fruticosa,41.53333,9.26667
1144771268,Sarcocornia_fruticosa,42.6,9.5
1144771271,Sarcocornia_fruticosa,41.58333,9.3
1144771217,Sarcocornia_fruticosa,42.6,9.48333
1144771242,Sarcocornia_fruticosa,42.73333,9.2
30888881,Sarcocornia_fruticosa,36.57,-6.32
1144771233,Sarcocornia_fruticosa,42.66667,9.28333
1144771240,Sarcocornia_fruticosa,42.03333,9.48333
1936546500,Sarcocornia_fruticosa,43.3785,-4.3963
1936428000,Sarcocornia_fruticosa,43.3509,-3.1371
1050611089,Sarcocornia_fruticosa,43.35,-2.67
1050611087,Sarcocornia_fruticosa,43.39,-2.92
1936091583,Sarcocornia_fruticosa,43.3505,-2.6805
199501934,Sarcocornia_fruticosa,43.357,-2.673
211636641,Sarcocornia_fruticosa,43.349998,-2.68
204420452,Sarcocornia_fruticosa,43.356998,-2.673
30888943,Sarcocornia_fruticosa,36.77,-2.1
204420453,Sarcocornia_fruticosa,43.356998,-3.13
1144771207,Sarcocornia_fruticosa,42.03333,9.46667
1936337869,Sarcocornia_fruticosa,38.6384,-0.8757
1144771202,Sarcocornia_fruticosa,42.68333,9.3
1144771230,Sarcocornia_fruticosa,42.05,9.48333
1929243902,Sarcocornia_fruticosa,-22.8832603958893,-42.018386387664
2288087022,Sarcocornia_fruticosa,29.5,30.666667
2291827899,Sarcocornia_fruticosa,31.433333,31.916667
1936034766,Sarcocornia_fruticosa,36.7107,-2.8333
30888880,Sarcocornia_fruticosa,36.75,-6.42
1096723359,Sarcocornia_fruticosa,-2.23,-79.88
47841595,Sarcocornia_fruticosa,-2.233,-79.883
1936581894,Sarcocornia_fruticosa,43.4459,-3.9653
1699961318,Sarcocornia_fruticosa,39.950682,8.495201
2269392634,Sarcocornia_fruticosa,-22.9167,-68.2167
31965728,Sarcocornia_fruticosa,35.17,-6.2
31974637,Sarcocornia_fruticosa,39.790001,3.1
