gbif_id,taxon_name,decimal_latitude,decimal_longitude
2269024339,Psiguria_triphylla,12.524195,-84.681861
1872032990,Psiguria_triphylla,4.517361,-73.4215
1872032746,Psiguria_triphylla,4.517,-73.440306
1932887967,Psiguria_triphylla,1.62,-75.9
1264719077,Psiguria_triphylla,13.836278,-85.951944
1930564657,Psiguria_triphylla,5.01114,-59.6395
1932881267,Psiguria_triphylla,1.44,-75.87
768723156,Psiguria_triphylla,2.37,-72.64
1707491798,Psiguria_triphylla,7.235,-73.248583
1087687422,Psiguria_triphylla,-10.519472,-37.051444
1455939447,Psiguria_triphylla,5.85214,-60.1879
1257999083,Psiguria_triphylla,38.61306,-90.25917
1258072864,Psiguria_triphylla,8.713611,-80.610278
1314768838,Psiguria_triphylla,4.38333,-51.68333
1089185592,Psiguria_triphylla,-8.693333,-35.842778
1934719413,Psiguria_triphylla,4.891667,-73.281667
1324592377,Psiguria_triphylla,-7.834444,-34.906139
768777615,Psiguria_triphylla,1.45,-75.88
1090515994,Psiguria_triphylla,-14.7575,-39.230556
787199134,Psiguria_triphylla,7.094256,-73.079644
1253887192,Psiguria_triphylla,10.081667,-84.446667
2268890900,Psiguria_triphylla,-4.083333,-73.466667
1257565384,Psiguria_triphylla,14.1,-85.430278
1090512137,Psiguria_triphylla,-15.189444,-39.385278
1042682293,Psiguria_triphylla,-7.8375,-35
1260904853,Psiguria_triphylla,-10.44,-75.43527
1889167038,Psiguria_triphylla,-8.256944,-38.1375
1257743103,Psiguria_triphylla,15.714167,-91.004167
1889167303,Psiguria_triphylla,-7.841111,-34.994722
1090502475,Psiguria_triphylla,-15.202778,-39.408056
1260767781,Psiguria_triphylla,13.98388,-86.18805
1257748469,Psiguria_triphylla,15.687778,-90.992778
768767692,Psiguria_triphylla,-2.36,-70.23
1260050832,Psiguria_triphylla,14.40888,-85.185
1253811503,Psiguria_triphylla,10.236389,-84.117778
1260049780,Psiguria_triphylla,14.316667,-85.116667
1094813879,Psiguria_triphylla,-12.469722,-40.520278
1260889572,Psiguria_triphylla,10.43138,-84.00361
2291591621,Psiguria_triphylla,4.141742,-52.126869
768766494,Psiguria_triphylla,3.28,-73.91
1259691494,Psiguria_triphylla,-0.749444,-76.781944
1259677330,Psiguria_triphylla,-4.79138,-79.11722
768768191,Psiguria_triphylla,3.67,-73.78
1253789757,Psiguria_triphylla,9.788889,-83.752778
