gbif_id,taxon_name,decimal_latitude,decimal_longitude
2517060440,Dioscorea_alata,8.8,117.75
2517037311,Dioscorea_alata,20.3,99.833333
2516806468,Dioscorea_alata,-1.798611,136.299444
2515064790,Dioscorea_alata,12.959752,106.037867
2513771904,Dioscorea_alata,1.816667,127.8
2513771583,Dioscorea_alata,-5.616389,132.797222
2513771003,Dioscorea_alata,6.033333,116.466667
2513770684,Dioscorea_alata,-6.75,146
2513770444,Dioscorea_alata,-3.56508,119.770249
2513770429,Dioscorea_alata,-5.94108,124.01633
2513769775,Dioscorea_alata,1.48218,124.848922
2513764553,Dioscorea_alata,18.116667,100.15
2513764333,Dioscorea_alata,14.916667,98.75
2513763533,Dioscorea_alata,19.533333,98.216667
2513763036,Dioscorea_alata,14.15,99.166667
2513762832,Dioscorea_alata,16.866667,101.833333
2513762421,Dioscorea_alata,12.384868,99.901575
2438507999,Dioscorea_alata,19.508971,98.800896
2436188234,Dioscorea_alata,-6.75,147
2435763035,Dioscorea_alata,-10.4358,105.6694
2417674625,Dioscorea_alata,29.32,114.96
2417613809,Dioscorea_alata,26.43,110.85
2417459344,Dioscorea_alata,31.05,109.41
2417375630,Dioscorea_alata,24.7,117.31
2417335148,Dioscorea_alata,25.46,105.28
2417288388,Dioscorea_alata,25.25,110.05
2265587584,Dioscorea_alata,-5.229583,145.178467
1989605231,Dioscorea_alata,20.571983,102.347217
1825754994,Dioscorea_alata,15.127036,101.017361
1825752243,Dioscorea_alata,22.883478,79.616202
1825752162,Dioscorea_alata,28.253008,83.938548
1825751980,Dioscorea_alata,36.519977,103.891767
1426162999,Dioscorea_alata,27.905222,98.659615
1426157518,Dioscorea_alata,27.719698,98.349533
1426140451,Dioscorea_alata,27.667114,98.723778
1322767368,Dioscorea_alata,21.1846,94.1136
1319480681,Dioscorea_alata,21.1837,94.1152
1304030514,Dioscorea_alata,24.615701,100.709787
1304030500,Dioscorea_alata,24.004444,101.108594
1304030466,Dioscorea_alata,22.01071,100.799775
1303972156,Dioscorea_alata,18.252625,109.511923
1303972096,Dioscorea_alata,27.340665,117.492653
1303972083,Dioscorea_alata,23.127041,113.341527
1303972053,Dioscorea_alata,23.437468,104.672252
1303972026,Dioscorea_alata,22.010889,100.79926
1303972004,Dioscorea_alata,24.186045,113.415062
1303966728,Dioscorea_alata,24.813781,113.184435
1258627243,Dioscorea_alata,28.04138,98.595
1252662775,Dioscorea_alata,21.63,104.26
1252628297,Dioscorea_alata,12.07,99.62
1252628294,Dioscorea_alata,18.12,100.15
1252628287,Dioscorea_alata,17.72,100.98
1252628283,Dioscorea_alata,14.15,99.02
1252628282,Dioscorea_alata,14.92,98.75
1252628267,Dioscorea_alata,15.81,98.89
1252628265,Dioscorea_alata,16.87,101.92
1252628264,Dioscorea_alata,16.39,101.58
1252628262,Dioscorea_alata,16.44,104.81
1252628251,Dioscorea_alata,16.27,104.97
1252628248,Dioscorea_alata,6.75,116.69
1252628247,Dioscorea_alata,16.05,98.78
1252628243,Dioscorea_alata,18.35,101.04
1252628240,Dioscorea_alata,19.53,98.22
1252628235,Dioscorea_alata,16.49,101.79
1252628228,Dioscorea_alata,17.06,103.97
1030949578,Dioscorea_alata,23.25013,111.266023
1030722590,Dioscorea_alata,27.392869,114.619889
919588997,Dioscorea_alata,21.475834,101.56752
919577200,Dioscorea_alata,23.431897,101.692457
919577159,Dioscorea_alata,22.983563,103.687613
919577158,Dioscorea_alata,22.792186,103.086573
919577155,Dioscorea_alata,25.012526,102.700013
919577154,Dioscorea_alata,25.869611,102.593465
919577151,Dioscorea_alata,22.697654,100.860736
919577134,Dioscorea_alata,26.876096,100.229945
919577124,Dioscorea_alata,23.531078,99.411861
919577123,Dioscorea_alata,22.529465,103.939279
919486500,Dioscorea_alata,25.670153,99.958012
891694783,Dioscorea_alata,22.056389,121.514444
891694764,Dioscorea_alata,24.506944,121.434722
891694757,Dioscorea_alata,25.046111,121.511944
891694753,Dioscorea_alata,25.028889,121.505278
891694747,Dioscorea_alata,25.134444,121.421667
891694740,Dioscorea_alata,25.136944,121.543333
891694724,Dioscorea_alata,23.068333,120.666944
891694695,Dioscorea_alata,24.451667,121.615278
891592625,Dioscorea_alata,25.169167,121.531667
890175890,Dioscorea_alata,27.905278,98.659722
575354087,Dioscorea_alata,12.066667,99.616667
575026276,Dioscorea_alata,25.444722,98.861944
439580480,Dioscorea_alata,14.91667,98.75
439247282,Dioscorea_alata,14.15,99.16667
438990441,Dioscorea_alata,13.42944,103.76361
438576272,Dioscorea_alata,16.86667,101.91667
438022304,Dioscorea_alata,-7.3791,146.7803
437658161,Dioscorea_alata,11.29111,104.59694
47758576,Dioscorea_alata,19.55,101.016
47758571,Dioscorea_alata,18.8,100.75
47758561,Dioscorea_alata,18.833,100.416
47758541,Dioscorea_alata,19.166,100.866
47758289,Dioscorea_alata,1.333,112.166
