gbif_id,taxon_name,decimal_latitude,decimal_longitude
1991395533,Calliandra_carbonaria,3.578526,-76.584056
2268841427,Calliandra_carbonaria,-10.322778,-75.130833
1437754433,Calliandra_carbonaria,7.267722,-73.358857
1707497856,Calliandra_carbonaria,7.268,-73.359
1147307436,Calliandra_carbonaria,0.67,-77.09
1324650323,Calliandra_carbonaria,0.68,-77.08
1257918316,Calliandra_carbonaria,-1.401389,-78.066944
1147297942,Calliandra_carbonaria,-0.03,-70.18
1213678851,Calliandra_carbonaria,3.583222,-76.716847
1424422359,Calliandra_carbonaria,0.249722,-67.323333
1253913264,Calliandra_carbonaria,10.882689,-84.273048
1424317081,Calliandra_carbonaria,-9.795,-69.56
1424417778,Calliandra_carbonaria,-6.653611,-62.992222
1042687934,Calliandra_carbonaria,-6.65371,-62.99
1424416417,Calliandra_carbonaria,-5.313611,-61.998889
1042688080,Calliandra_carbonaria,-5.3136,-62
768777824,Calliandra_carbonaria,1.27,-75.73
1147303803,Calliandra_carbonaria,-0.24,-72.42
1944829391,Calliandra_carbonaria,-2.885028,-73.018667
1944825699,Calliandra_carbonaria,-2.79275,-72.917472
1257657277,Calliandra_carbonaria,-12.711389,-73.257222
1563320356,Calliandra_carbonaria,-3.7661,-78.4983
1260893268,Calliandra_carbonaria,-3.766111,-78.498333
1253868967,Calliandra_carbonaria,10.185333,-83.863667
1257851659,Calliandra_carbonaria,9.428661,-82.845289
1929747165,Calliandra_carbonaria,-1.0661,-77.6283
1260765574,Calliandra_carbonaria,-1.066111,-77.628333
1260875109,Calliandra_carbonaria,-4.753611,-79.093611
1930173011,Calliandra_carbonaria,-4.7536,-79.0936
2268860025,Calliandra_carbonaria,-2.188194,-76.781389
1260905577,Calliandra_carbonaria,-12.40944,-72.5
1260903492,Calliandra_carbonaria,-12.42777,-72.49972
1563235424,Calliandra_carbonaria,-1.7069,-78.0203
1260852639,Calliandra_carbonaria,-1.706944,-78.020278
1260912345,Calliandra_carbonaria,-12.875,-71.49083
1261012619,Calliandra_carbonaria,-1.06666,-77.61666
1257656581,Calliandra_carbonaria,-13.1875,-70.563611
1253846188,Calliandra_carbonaria,10.06516,-83.630885
1260748453,Calliandra_carbonaria,-12.61444,-73.06027
1260875022,Calliandra_carbonaria,-3.566389,-78.441389
1929851529,Calliandra_carbonaria,-3.5664,-78.4414
1253846544,Calliandra_carbonaria,9.640278,-83.1375
1260636467,Calliandra_carbonaria,-4.228611,-78.658333
1259955161,Calliandra_carbonaria,-4.049167,-78.831111
1929720260,Calliandra_carbonaria,-4.0492,-78.8311
1707579051,Calliandra_carbonaria,3.719444,-70.307222
1260489024,Calliandra_carbonaria,-10.25,-75.25
1424213887,Calliandra_carbonaria,-8.286111,-67.6125
1257848233,Calliandra_carbonaria,10.191111,-83.857778
1042692721,Calliandra_carbonaria,-4.852833,-65.36
1563255939,Calliandra_carbonaria,-12.3,-72.3
1928390032,Calliandra_carbonaria,-15.6425,-73.0686
1260744140,Calliandra_carbonaria,-15.6425,-73.06861
1260384382,Calliandra_carbonaria,-4.23305,-78.64638
1260744094,Calliandra_carbonaria,-12.45138,-72.95416
