gbif_id,taxon_name,decimal_latitude,decimal_longitude
1501780791,Lavandula_multifida,38.13,-0.88
1882653437,Lavandula_multifida,41.79,-1.86556
1265271389,Lavandula_multifida,36.73211,-4.40833
1701532910,Lavandula_multifida,37.01611,-2.41667
1701532833,Lavandula_multifida,36.73306,-2.1475
1099345603,Lavandula_multifida,36.614291,-5.170901
1831523935,Lavandula_multifida,36.6075,10.32194
1831523846,Lavandula_multifida,36.45361,10.30306
1269845755,Lavandula_multifida,36.452778,10.302778
1851357109,Lavandula_multifida,38.412,-9.189
1702510128,Lavandula_multifida,38.41,-9.19
1229656514,Lavandula_multifida,38.41,-9.18
1099343547,Lavandula_multifida,36.617,-4.549
1265474321,Lavandula_multifida,37.134672,-2.728222
1265270312,Lavandula_multifida,36.76781,-4.40025
1099345160,Lavandula_multifida,36.525,-5.261
781076510,Lavandula_multifida,36.69738,-4.64817
1229656436,Lavandula_multifida,36.75,-3.75
1842845232,Lavandula_multifida,36.7507,-3.7506
1702506982,Lavandula_multifida,36.74,-3.75
1851370231,Lavandula_multifida,36.7511,-3.7508
1936244439,Lavandula_multifida,37.3028,-1.7314
781076493,Lavandula_multifida,36.70323,-4.63555
781076498,Lavandula_multifida,36.727,-4.405
1265474319,Lavandula_multifida,37.56,-1.84
1936258175,Lavandula_multifida,36.7678,-2.1942
895226436,Lavandula_multifida,37.27,-2.27
415620459,Lavandula_multifida,36.48711,-4.74671
1936247701,Lavandula_multifida,36.7602,-3.8372
895217707,Lavandula_multifida,39.482,-0.39
895315515,Lavandula_multifida,36.763,-4.429
1936218530,Lavandula_multifida,36.7563,-4.4352
1053986987,Lavandula_multifida,36.75,-4.43
1050650808,Lavandula_multifida,36.76,-4.42
1936206811,Lavandula_multifida,33.4453,10.1628
232589802,Lavandula_multifida,37.622,-1.102
1936206381,Lavandula_multifida,34.3386,8.3292
814312361,Lavandula_multifida,33.88111,-5.93028
1936252147,Lavandula_multifida,33.8811,-65.9303
211648370,Lavandula_multifida,37.736,-2.745
1936699384,Lavandula_multifida,37.5791,-0.8372
211648304,Lavandula_multifida,37.306,-1.798
2290293691,Lavandula_multifida,51.92442,4.477733
317821691,Lavandula_multifida,29.3507,-10.1353
317821697,Lavandula_multifida,29.7522,-9.284
1936196738,Lavandula_multifida,29.5056,-10.0706
1936198189,Lavandula_multifida,29.3158,-10.2061
317821689,Lavandula_multifida,29.5033,-10.069
1936198061,Lavandula_multifida,29.3511,-10.1367
1936196542,Lavandula_multifida,29.7119,-9.9208
317821692,Lavandula_multifida,29.3095,-10.2037
1936197451,Lavandula_multifida,29.7536,-9.2844
1936196028,Lavandula_multifida,36.7334,-2.206
1936667235,Lavandula_multifida,37.4956,-1.4456
318115545,Lavandula_multifida,36.53,-4.87
1842899244,Lavandula_multifida,38.826,0.08
78872375,Lavandula_multifida,37.977237,-4.488849
317821637,Lavandula_multifida,36.73,-4.17
1936663954,Lavandula_multifida,36.1539,10.3372
912457687,Lavandula_multifida,34.84,-0.24
788780844,Lavandula_multifida,56.88954,12.46662
30874416,Lavandula_multifida,36.700001,-3.48
318115474,Lavandula_multifida,38.11,-0.94
30667423,Lavandula_multifida,37.169998,-1.98
1842864852,Lavandula_multifida,37.302972,-1.741781
198470557,Lavandula_multifida,37.34,-1.68
1851320087,Lavandula_multifida,37.341,-1.685
1851375192,Lavandula_multifida,37.063,-1.858
198470576,Lavandula_multifida,37.060001,-1.86
30667455,Lavandula_multifida,36.970001,-1.93
1936659780,Lavandula_multifida,37.3346,-1.6918
30875852,Lavandula_multifida,37.369999,-1.77
912260525,Lavandula_multifida,35.66,9.78
1936676508,Lavandula_multifida,32.1816,-8.0634
30667469,Lavandula_multifida,37.439999,-1.74
1842899697,Lavandula_multifida,38.828,0.16
1831524155,Lavandula_multifida,24.95389,8.99806
199486481,Lavandula_multifida,36.76,-3.812
204403509,Lavandula_multifida,36.823,-2.243
1936670129,Lavandula_multifida,38.6388,0.0577
895194336,Lavandula_multifida,37.09,-2.38
318115555,Lavandula_multifida,37.25,-1.77
415620425,Lavandula_multifida,36.73405,-4.11892
30875622,Lavandula_multifida,36.77,-3.56
1702213130,Lavandula_multifida,59.1867,10.969
211647595,Lavandula_multifida,37.53,-1.47
2290114002,Lavandula_multifida,35.894667,10.581833
199486505,Lavandula_multifida,36.719,-4.316
199486463,Lavandula_multifida,36.777,-3.846
318115453,Lavandula_multifida,38.75,-0.04
199486459,Lavandula_multifida,36.787,-3.79
1842911092,Lavandula_multifida,34.29,-4.25
30668339,Lavandula_multifida,37.279999,-1.91
211647749,Lavandula_multifida,37.496,-1.829
211647746,Lavandula_multifida,37.71,-1.656
30668399,Lavandula_multifida,37.34,-1.74
211647753,Lavandula_multifida,37.643,-0.784
1230916013,Lavandula_multifida,0.36111,9.69722
204403739,Lavandula_multifida,36.851,-2.478
1936599581,Lavandula_multifida,37.5327,-7.5173
318115423,Lavandula_multifida,37.04,-2.03
318115366,Lavandula_multifida,36.73,-2.15
235572125,Lavandula_multifida,36.53302,-5.00943
211647741,Lavandula_multifida,37.582,-0.888
211647763,Lavandula_multifida,37.585,-1.058
30874972,Lavandula_multifida,36.59,-4.56
30874974,Lavandula_multifida,36.580002,-4.68
1500663092,Lavandula_multifida,38.69,0.01
895143952,Lavandula_multifida,38.698,0.016
1936541987,Lavandula_multifida,37.3984,-1.7585
1936542192,Lavandula_multifida,37.0401,-1.9892
895144640,Lavandula_multifida,38.792,0.162
1500663045,Lavandula_multifida,38.79,0.16
318115277,Lavandula_multifida,38.08,-1.03
1831524105,Lavandula_multifida,36.29167,10.33056
318115284,Lavandula_multifida,36.75,-3.24
1501072468,Lavandula_multifida,38.11,-0.96
895247146,Lavandula_multifida,36.843,-2.613
1936535604,Lavandula_multifida,37.041,-2.1016
860317031,Lavandula_multifida,37.27,-1.82
30874838,Lavandula_multifida,36.849998,-4.79
211647761,Lavandula_multifida,37.646,-0.931
211647742,Lavandula_multifida,37.604,-1.159
204403662,Lavandula_multifida,37.049,-2.387
1501063423,Lavandula_multifida,38.09,-0.94
1501070992,Lavandula_multifida,38.08,-0.97
1501070307,Lavandula_multifida,38.11,-0.89
1501058335,Lavandula_multifida,38.14,-0.96
1501056723,Lavandula_multifida,38.17,-0.88
1936536655,Lavandula_multifida,38.1701,-0.8894
1936220052,Lavandula_multifida,38.41413,-9.21898
1936518142,Lavandula_multifida,38.7215,-0.1257
1501058151,Lavandula_multifida,38.14,-1.03
318115388,Lavandula_multifida,36.82,-2.05
30875134,Lavandula_multifida,36.950001,-2.44
860317782,Lavandula_multifida,37.8515,-1.4213
1842881481,Lavandula_multifida,31.484,-9.763
1851572311,Lavandula_multifida,38.68,0.005
1831523725,Lavandula_multifida,31.01528,-8.14528
318115378,Lavandula_multifida,38.17,-0.83
1842881472,Lavandula_multifida,34.88861,-2.299925
1842881498,Lavandula_multifida,34.149417,-4.352178
1842881499,Lavandula_multifida,35.37,-5.17
1842881501,Lavandula_multifida,35.37,-5.03
1842881548,Lavandula_multifida,34.197274,-4.205051
1842881492,Lavandula_multifida,35.27,-5.22
318115273,Lavandula_multifida,34.06,-5.55
1842881406,Lavandula_multifida,34.75,-2.38
318115024,Lavandula_multifida,38.78,-0.11
1501067656,Lavandula_multifida,38.87,-0.09
1842881418,Lavandula_multifida,35.308445,-4.978673
1851349994,Lavandula_multifida,38.86,-0.06
1842881420,Lavandula_multifida,35.199457,-3.491233
1842881444,Lavandula_multifida,34.997663,-3.815942
1842881544,Lavandula_multifida,34.030272,-4.800884
317821322,Lavandula_multifida,30.619455,-9.505417
1842881445,Lavandula_multifida,34.02,-5.57
1842881387,Lavandula_multifida,34.55,-4.95
1842881416,Lavandula_multifida,34.03,-4.82
1831523991,Lavandula_multifida,31.57194,-5.57444
1701533120,Lavandula_multifida,30.53139,-7.91139
1842881306,Lavandula_multifida,34.97,-2.75
1842881245,Lavandula_multifida,34.393,-3.7397
1842881459,Lavandula_multifida,34.9583,-2.7227
1842881390,Lavandula_multifida,34.1055,-4.969
1842881415,Lavandula_multifida,34.071304,-5.553551
1842881403,Lavandula_multifida,35.389105,-5.163056
1988097530,Lavandula_multifida,49.25,-123.25
1842881412,Lavandula_multifida,34.906375,-3.578134
199486110,Lavandula_multifida,36.71687,-4.47154
30874903,Lavandula_multifida,37.049999,-2.66
318115576,Lavandula_multifida,36.73,-2.16
30874905,Lavandula_multifida,36.959999,-2.55
1936448560,Lavandula_multifida,38.9943,-0.2301
1500663077,Lavandula_multifida,39.04,-0.17
1936422016,Lavandula_multifida,37.3168,-1.7147
607616069,Lavandula_multifida,38.968,-0.1844
199486144,Lavandula_multifida,36.888,-4.521
1842881271,Lavandula_multifida,35.25,-2.97
1842881341,Lavandula_multifida,35.182176,-4.694016
1842881378,Lavandula_multifida,35.193987,-3.495056
1842881349,Lavandula_multifida,34.164138,-5.534264
1842881486,Lavandula_multifida,34.08,-4.48
318115607,Lavandula_multifida,36.92,-4.78
199486102,Lavandula_multifida,36.763,-4.451
30876203,Lavandula_multifida,36.68,-3.78
318115231,Lavandula_multifida,38.86,0.06
318115234,Lavandula_multifida,38.26,-0.78
165324880,Lavandula_multifida,36.939999,-4.91
30668134,Lavandula_multifida,37.337,-2.294
1500663080,Lavandula_multifida,38.95,-0.29
30876331,Lavandula_multifida,37.23,-2.66
30875256,Lavandula_multifida,37.490002,-1.42
1501059796,Lavandula_multifida,38.81,0.18
30875260,Lavandula_multifida,37.490002,-1.64
895274006,Lavandula_multifida,39.04,-0.28
199486589,Lavandula_multifida,36.643,-4.616
199486050,Lavandula_multifida,36.763,-4.417
199486046,Lavandula_multifida,36.54,-4.916
199486051,Lavandula_multifida,36.693,-4.908
199486121,Lavandula_multifida,36.73743,-3.76639
30876156,Lavandula_multifida,36.68,-2.22
895210828,Lavandula_multifida,37.62,-1.36
199485974,Lavandula_multifida,35.27,-5.03
199486049,Lavandula_multifida,36.763,-4.395
199486012,Lavandula_multifida,36.55186,-4.92244
317821373,Lavandula_multifida,36.73,-4.18
30874473,Lavandula_multifida,36.77,-2.22
860311212,Lavandula_multifida,37.5762,-1.725
1502034956,Lavandula_multifida,38.77,0.18
30876286,Lavandula_multifida,36.68,-4.23
1705472551,Lavandula_multifida,36.814,-4.7258
2291939901,Lavandula_multifida,30.883333,-7.233333
199485856,Lavandula_multifida,36.7007,-4.6172
1500663054,Lavandula_multifida,38.86,-0.18
860318233,Lavandula_multifida,36.73,-3.84
2289895216,Lavandula_multifida,30.633333,-7.266667
2290558740,Lavandula_multifida,31.616667,-5.583333
2288838678,Lavandula_multifida,34.966667,-2.766667
2291940342,Lavandula_multifida,36.75,-2.233333
2288330471,Lavandula_multifida,36.783333,-3.55
30876314,Lavandula_multifida,36.860001,-4.57
199485790,Lavandula_multifida,36.54,-4.73
